Time (d),Excess Pore Pressure (kPa)
0.0,0.0
0.333333,12.920700000000004
0.666667,12.577700000000004
1.0,10.8853
1.0,10.8853
3.01932,11.6781
5.03865,6.0167
8.03865,3.0571000000000055
10.0,2.128399999999999
10.0,2.128399999999999
12.0193,7.4708000000000006
14.0386,4.580600000000004
17.372,2.5564000000000036
20.0,1.8045000000000044
20.0,1.8045000000000044
22.0193,6.940300000000001
24.0386,4.634300000000003
31.3722,2.0010000000000048
38.7057,1.1540000000000035
46.0392,0.7939000000000007
59.3725,0.4953000000000003
60.0,0.48210000000000264
60.0,0.48210000000000264
60.3333,0.4749000000000052
60.6667,0.4680000000000035
61.0,0.4613000000000014
61.0,0.4613000000000014
61.3333,0.4549000000000021
61.6667,0.4485000000000028
62.0,0.442300000000003
62.0,0.442300000000003
63.0,0.4247000000000014
64.0,0.40810000000000457
65.0,0.39229999999999876
