Time (d),Excess Pore Pressure (kPa)
0.0,0.0
0.333333,22.585399999998856
0.666667,16.720599999998857
1.0,12.755899999998858
1.0,12.755899999998858
3.01932,10.731799999998858
5.03865,5.647719999998857
8.03865,2.9154199999988575
10.0,2.0420999999988574
10.0,2.0420999999988574
12.0193,6.2724599999988575
14.0386,4.013469999998858
17.372,2.3027599999988575
20.0,1.6333699999988576
20.0,1.6333699999988576
22.0193,5.7620199999988575
24.0386,3.9092599999988575
31.3722,1.7295799999988575
38.7057,0.9924069999988576
46.0392,0.6722129999988575
59.3725,0.40952699999885755
60.0,0.39789999999885756
60.0,0.39789999999885756
60.3333,0.39171899999885756
60.6667,0.3857389999988576
61.0,0.3799119999988576
61.0,0.3799119999988576
61.3333,0.37423299999885756
61.6667,0.3686919999988576
62.0,0.3632749999988576
62.0,0.3632749999988576
63.0,0.3479299999988576
64.0,0.33348899999885756
65.0,0.3198089999988576
