Time (d),Excess Pore Pressure (kPa)
0.0,0.0
0.333333,19.64228
0.666667,16.6284
1.0,13.6754
1.0,13.6754
3.01932,14.4129
5.03865,7.229900000000001
8.03865,3.6538000000000004
10.0,2.5383999999999993
10.0,2.5383999999999993
12.0193,9.479700000000001
14.0386,5.548400000000001
17.372,3.0433999999999983
20.0,2.128399999999999
20.0,2.128399999999999
22.0193,8.8703
24.0386,5.659099999999999
31.3722,2.368400000000001
38.7057,1.3381000000000007
46.0392,0.9089999999999989
59.3725,0.5609999999999999
60.0,0.5457000000000001
60.0,0.5457000000000001
60.3333,0.5373999999999981
60.6667,0.5294999999999987
61.0,0.5216999999999992
61.0,0.5216999999999992
61.3333,0.5141999999999989
61.6667,0.5068999999999981
62.0,0.4997000000000007
62.0,0.4997000000000007
63.0,0.4792999999999985
64.0,0.4602000000000004
65.0,0.44200000000000017
