Time (d),Excess Pore Pressure (kPa)
0.0,0.0
0.333333,26.42781
0.666667,20.114153
1.0,15.779340000000001
1.0,15.779340000000001
3.01932,15.45025
5.03865,7.795800000000002
8.03865,3.934800000000001
10.0,2.7273999999999994
10.0,2.7273999999999994
12.0193,9.983490000000002
14.0386,5.895900000000001
17.372,3.2337000000000025
20.0,2.2513000000000005
20.0,2.2513000000000005
22.0193,9.396600000000001
24.0386,5.9755
31.3722,2.4879
38.7057,1.3917000000000002
46.0392,0.9375
59.3725,0.5738000000000021
60.0,0.5578000000000003
60.0,0.5578000000000003
60.3333,0.5492000000000026
60.6667,0.5409000000000006
61.0,0.5329000000000015
61.0,0.5329000000000015
61.3333,0.5251000000000019
61.6667,0.5174000000000021
62.0,0.5100000000000016
62.0,0.5100000000000016
63.0,0.48880000000000123
64.0,0.4689000000000014
65.0,0.4501000000000026
